respond	context_0
Nothing.	No, I'm sorry. I'm sorry. Look...this is a weak moment. Nobody's supposed to see this. And, uh, mark my words, I'll clean up the soap. ...Probably several thousand times.Everyone's got their own burdens, J.D., and I'm not gonna be one of those people that dumps mine on somebody else. Now whatta you need?
None of us needed anything.	Nothing.
And Dr. Cox knows he has to find something else to hang his hat on.	Baby. Come to bed.
Still, it's not that daunting if you look around and see what other people have to deal with.	You, my friend, are going to be the best baseball player in the world. Which will make me the best baseball player in the world's father.Can't you hear it, Jack? Can't you hear it?
Goodnight, Dr. Casey.	Still, it's not that daunting if you look around and see what other people have to deal with.
...by touching everything in his first patient's room.	Bink. Bink. Bink. Bink, bink bink...
He touches everything.	Good morning, doctors.
Was it "I come from the land down under! Where women glow and men plunder!" That wasn't me.	It isn't "bink"! Stop saying "bink"!
I have been known to plunder.	Do you plunder?
Be careful with this guy, he's uh....	I'm sorry, you said that like it's a normal thing.
The bad kind.	Really!? My grandpa had that. Every morning he'd take a gym sock, fill it up with nickels, and just beat us! That's OCD, right?
Damn him. He's right.	You kiddin'? Oh, man! Just picture yourself, you're standing out here, in the open air, then you sit down and you take stock of your life.
Who'm I gonna tell?	Listen, pal. I don't want you telling anybody about my epiphany toilet.
And get this: He calls it his "epiphany toilet"!	Ehp! Don't even think about it!
You're like Dr. Casey. I think he said using that toilet would be like his Everest.	No one's offering.
Yep, that's what he said.	Using that toilet would be my Everest.
Oh, my God! _Would_ I have a threesome with Turk and Carla? Well, it's certainly flattering, and I don't think they'd tell anyone....	Turk wants to ask you something, and it would mean a lot to the both of us if you said yes.
Oh.	Will you be my best man?
I mean, YEAH! Of course!	Huh?
Thank you so much!	Hell yeah, you will!
A decoder ring! Heh.TURK!	So is this, like, the best moment you guys have ever had?
It finally happened!	What?
Double secret decoder ring-wearing doctors.Form of an ice menorah!	You guys realize you're doctors, right?
Oh, no!	Dude, I gotta go.
You see, a census said that hospital admissions dropped in February.The census...was wrong.	Oh!
And it wasn't just me. Dr. Casey has affected everyone.	Hey! Bink you!
What's he doing?	And it wasn't just me. Dr. Casey has affected everyone.
Yeah, Turk has asked me to be his best man. You got any advice?	I'm sorry, does mean stare at me like jackasses or does it mean get the hell over here?All right, then. Mr. Tanaka here is fatiguing and he needs to be intubated. Any questions?
So introduce yourself.	You know what sucks? Everyone keeps talking about how Dr. Casey has helped them, and he doesn't even know I exist!
Probably.	Why can't I sit on you!? Why?
Thanks. Thanks for coming back.	Newbie! It turns out I, uh, I do have some best man advice. Go easy on the mascara in case you cry during your toast. And if you're gonna chase after the bouquet with all of the other girls, make sure you kick off your pumps so you don't snap one of those chicken ankles of yours.
Even if you've done a procedure five thousand times, there's no guarantee you won't screw up number five thousand, one.	Barbie. Are you sure you went into his lungs? 'Cause it looks like you're blowing up his stomach.Aw, dammit, his O2 sat's dropping. Get out of the way, honey; come on.
Can I practice my toast on you?	A few more seconds, we would have been coding this guy.Barbie, as hard as it is to remember, but _air_ goes in _the lungs_.
I'm opening with a quote from 'Spartacus'.	No.
Well, come on. As your best man, trust me, it's not about the style, it's about the fit. When you're out there on the dance floor, you don't want any restrictions, okay? Let's test these babies out one more time.	I don't know why Carla wants me to wear a cummerbund, let alone a red one.
It _is_ hot!	Okay, ready? Five, six, seven, eight.And one, two, three, four, five six, seven, eight.
I can't reach!	Put one hand on the floor!
I can feel it burning!	You better feel the burn!
Well, we grew up in ...	Where I grew up, they didn't allow two men to marry.
...There you gotta do things like test suits out...	Well, shoot, I grew up in the 'hood ...
Uh.... I'm the best man. Do you have any advice for me to give my friend?	...That's right.I'ma go change.
Yeah, I'll make sure and do that.	Just remind him over and over that the wedding is all about what the woman wants.
It's got to be one of these!Oh, I've got ideas.	You got the ring?
One one thousand, two one thousand.... And now I'm best at that!	How about best at not talking?
Me or him?	Hey!
What now?	Cool.
No, why?	Did you tell anybody about my epiphany toilet?
First of all, why would I tell anyone? And secondly, no one has epiphanies on the john!	If I find out you told anybody, I'm gonna beat you with poppy's old nickel sock.
When two people collide, a lot of things can happen.	Aye-aye, captain.Dice medigo...
For some it can be disaster.	Oh, hey, Bob. Great news: we found Hector a room!
Still, the weirdest thing is when two people collide without ever being in the same room.	I know!!! ...Um... I know.
Just paint your legs black, you'll be fine.	Dude! I look like I'm going to Ferrakhan day-camp!
You know what? You should totally say something. You know, unless you want to set a precedent where she's walking all over you for the rest of your life; but it's your call, you might love that, I don't know.	Just remind him over and over that the wedding is all about what the woman wants.
Well, I better get to work before all the good patients are taken.	I don't know....
AGH!	J.D., can I talk to you?
Phew! False alarm.	Have you seen Carla around?
AGH!	'Cause I need to, uh, talk to you in private? Sort of man to man?
I can't right now, Turk. I am completely swamped.	AGH!
So I can get to my patients faster.	You're drawing lightning bolts on your Nikes.
Later's no good, dude. I gotta stop by the tux shop, then I gotta finish telling my whole family that you picked me as your best man!	How 'bout later?
Dr. Casey! Have you seen Turk?	...Kevin Casey.
You should see us gettin' down when we try pants on together.	Oh, yeah, nice guy...good surgeon...great dancer.
Cool. I'll see you tomorrow.	Yeah-heh. I have to go.
Why? Why do you have to do that?	Uh, actually, no. I got a call I have to go back to my hospital.
I know.	Well, look at it this way: Uh, I may be leaving here, but I will always be there.
Ha, I know.... Okay. Well, sir, it was amazing to work with you.	I am so messing with you.
Okay, sorry.	Thank you.And that's three seconds!
Watching Kevin go, I wondered how gay I looked giving that two-handed handshake. And also how weird it was that someone could just walk into your life, have such a big impact, and then vanish just like that, never to be seen again.But mostly I thought about how, in some small way, Kevin had helped every single person he met here.	Okay.
Elliot, he didn't say goodbye to a lot of people. Just me, Dr. Cox, Carla, Doug, Snoop Dogg Intern...	Kevin left. Didn't even say goodbye.
I haven't seen them.	Where my hos at?
He didn't help a lot of people, Elliot. It was just me, and Turk, and Carla, and Dr. Cox, and Doug, and Dr. Mickhead	Look, I don't wanna sound pathetic, but, he didn't even help me.
_Was_ in rehab, Elliot. Was. He'll never huff paint again.	Mickhead? No, Mickhead's in rehab.
There's Turk. I gotta go.	All right, see, with intubating....I can't seem to intubate patien
Yeah, me too.	With Marbury, I really believe New York has a shot at the title, man.
I wanna say tennis....	Which sport are we talking about?
It's always uncomfortable when two guys wanna say something each other.	The only reason I asked my brother to be best man was because I knew he couldn't come to the wedding. But now his plans have changed and he's all excited. Dude, it has to be you, you know that.
Look, you've been my best friend for ten years, man; I've loved you since college, and you know I'd do anything for you.	It's always uncomfortable when two guys wanna say something each other.
Solid.You know, if it makes it easier, I guess we could be co-best men.	Dude, look, man, you're my friend and I frickin' love you; and no one's looked out for me like you have.Cool.
...Even though...God said it's supposed to be one....	You have no idea how much stress that would relieve.
I can't believe it's gone.	You see, this is why I wanted you to use the bathroom up here.If there's something you know you can do, whether it's intubating a patient or...copping a squat on the roof, and your mind keeps throwing up roadblocks, just know you can drive right through 'em.
I think it's human nature to search for answers.	I can't believe it's gone.
No reason.	Dude. Why is your tux gonna cost four thousand dollars?
Sometimes the answer you get is the one you least expect.	No reason.
But more often than not, the answers we've been looking for have been inside us all along.	Dairy Queen!
I guess the important thing is to never stop searching.	Well done, there, Barbie. You're now exactly where you were three years ago.
I'll help you. Nah. Okay.	Occupied!
Let's have the other foot.	Oh. That feels so good. Right there. Yeah.
I'm a doctor. This has been in people.	Elliot. I'm a surgeon. I cut people open.
Well, I think the obvious answer is to draw Sean's face on it and tell him you grew it	Sean's coming back in a few weeks. What am I supposed to
Dammit.	Cut me the hell up.
You okay?	Turk! Wait! Turk! Turk! Whoa!
Will there be a piñata? Because I need to know if I should bring my piñata helmet.	How about a Russian Roulette booth? And here's the kicker. We put bullets in ALL the
It was a gift.	Hup-pah-bah! Would you zip it, nerd? The only reason I invited you is
From me to me.	It was a gift.
Why not?	Anyhoo. I'm thinking that you probably shouldn't come.
Auuuuuuuuuuugh.Danni, if you don't look concerned, no one in America's Funniest Home Videos is going	What tape?
Why is that?Waaaauuuuuuuuuuuuuuggggghhhhhhhhhhhh!	Oh yeah. He always has to make some grand entrance that he just winds up depressed
Thorns! Ah! Augh! Ow! Ouch! Ah!	No.:
I can't!	Oh. Bloody. That's good. Now this time, try and do it with your
Can I see that for one second?DRRRRRRRRRRRRRRRRRRRRRRRRR! GRRRRRRRRRRRRRRRRRRRRRRRR!	That's perfect.
I need to get it started first.	Not a strong moment for you, Polly.
Is this thing made of Teflon?	Uh-huh.
I have to get going.	You know something? You have slept with both of my sisters. That means you
Oh my God! He's gonna die!	So should I be worried about the old ticker?
Dr. Cox, I can't. I'm already covering for Doug. He's on a His-and-Her Spa Day withDon't ask. The point is, I'm swamped. And I'm a little worried about Mr. Taylor here.Mr. Taylor.	Only me. Long story short, your new job is to take young Ben here by the hand and
For the life of me, I can't figure out his irregular heartbeat.	Hiiiiii.
Would you please stop it.	Hey, J.D. My sister Danni is more of a gentle kisser, don't you think? But I find
So you would be a butt-face.	All right. I'll scrap it away and we'll cover it with skin from the
God, how long does it	No, it wouldn't.
Dr. Cox.	That hurt here,
Twenty minutes after you left, he went into cardiac arrest.	What's the matter with you there,
Guilt's a funny thing. It can lead to denial.	This shouldn't have happened.
Guilt can lead to compromise.	Darn kid!
But as a doctor, you are around death so much, you get used to the guilt. And	Dammit.
I'm on call tonight.	What are you still doing here?
So wait. You think this was my fault?	Not anymore. I'm taking all your patients.
Dr. Cox. Can I talk to you for a second?Look. You want to be mad at me, that's fine. I get it. Okay. But Jordan called. And	Aw. Why are you here?
I can't, man. I got things to do.	I know, but...Listen. My butt is fabulous. A slice of that up here,
What? They're my shower shorts.	You got to forgive him.
You know, you're right. I was an idiot to buy these shower shorts. I mean, it's not like	Those are the most ridiculous things I have ever seen.
Thanks. I really needed to hear that.	Look, I just want to say. That what happened. Wasn't your fault. And I'm
For the man who has nothing to hide. But still wants	Shower Shortz?
Acceptance can take a lot of different forms.Whether it's accepting that it's okay to show your soft side every once in a	For the man who has nothing to hide. But still wants
...or accepting someone you love for just the way they are.	Well, Ted, you know what IIf you don't, who cares? You all stink anyway.
Pictures of what?	Now, where is your camera? Aren't, aren't you going to take some pictures?
Where do you think we are?	You know. Crying babies. Covered in chocolate. People singing
But in the end, the most important thing to accept is that no matter how	Where do you think we are?
Jordan's best friends came to town for the funeral, and unfortunately for Dr. Cox, they still haven't left.	Why?
Dr. Kelso was having a little female trouble of his own.	Oh, God.
Every time Turk's in a hurry, I'm always tempted to jump out and scare him. Well, today's the day!	I'll handle this. I think what Garfunkle here is trying to say is that you should all take a second, think seriously about what's really bothering you, and then have a big group unbunching of your panties.
Booga! Booga! Booga! Booga!Wooo! Ack!	Every time Turk's in a hurry, I'm always tempted to jump out and scare him. Well, today's the day!
The...reason Turk's in such a rush is because he's starting a rotation with the hospital's new attending surgeon.	Booga! Booga! Booga! Booga!Wooo! Ack!
I could tell what the guys were thinking.	So.... You guys my new residents?
Well, it would be "queen" if I took my "cwothes" off it.	Hey, I've been sharing a guest room with razor-knees, here, for the last two weeks. Do you have a queen bed?
May I be excused?	Oh.
You know, down the street on the right, they'll make an appletini that'll knock your socks off.	Where can one get a nice gin and tonic?
So, uh, Jordan seems to be doing pretty well.	Right! Let's go and get drunk before pilates!
How 'bout you? How you holding up?I...I know it's been kind of tough with Ben dying.Are you gonna talk ever?	You know Jordan, she is a rock.
That's a beautiful sentiment.	Let me go ahead and tee this up for you, there, Annika: We are all going to die someday. For the lucky few of us it'll be nice and fast. But for most of us it'll be just as long and slow and painful as a conversation with you.
I wrote Dear Abby once in seventh grade 'cause I didn't have body hair like the other guys? By the time her response came out in Parade magazine, it was like a forest down there. Well, you know, "nothing ventured..."	Oh, my God. Look, Abby, I didn't write to you asking for help. So, if you continue on down this road, you're going to end up eating, breathing, and relieving yourself through a tube of some kind. Signed, Dealing With It On His Own in Kansas.
Hmmm.... I should probably go to his place....	Looking for streamers and a and a marching band, because this will be the ceremonial one-millionth time I've had to shake off something that you've said.Ahh. Yes, Newbie, I'm having a tough day. And of course I'd love to head home, but Jordan's satanic brood has taken over my apartment and no man in his right mind would dare enter that place.
Uhhh, um.	Just a second, darling.
Ohh, yes.	Does this bra make my boobs look real?
No, no, no, no, no, no! No, no, no switchies. I think we should all be happy with the bras God gave us! I really should go.	Damn. Let's switch.
Uhh....I guess I could hang for a smidge.	Or you could just give us a work-out right here.
You know...ladies...I'm not usually into the rough stuff, but.... Oooooh.You shall not feast on me!	How dare you tell us to leave our best friend's house because you want to kiss Perry's ass.
Sometimes it seems like men and women speak a completely different language.	You know what's worse than the basic knuckle-dragging scalpel jocks I usually work with? You. You are the worst kind of sexist. You're one of the sneaky ones who prides himself on saying all the right things when, deep down, what you really think is that I'm just a little girl who needs protecting.
And when that happens, even the best of intentions can be misunderstood.	Great stuff.
Oh, God.	Huh.
And misunderstandings, well, they can lead to disaster.	Oh, God.
Actually, yes. I caught the matinee of that show; definitely not for the whole family.	May I ask you something, there, Judy? Do you have any idea what it's like to have three angry, under-fed women tear you several new ones for a full hour?
Well, you wouldn't see my face because it would be buried in your chest, giving you the hug you've been afraid to ask for your whole life!	Then for the last time, don't stick any part of your hairless body into my business. Trust me, there is nothing for you to gain from it. Because even if you went on a cruise to the most remote regions of the ocean and rescued my drowning, salt-soaked body in time to pump the sea water out of my lungs and bring me back from the brink of death, I would STILL be upset that the first face I saw was yours!
Now, if you don't want my help, then fine, I'll back off.... But only because I feel a little bit guilty.	Huh!
Aaaaaaaaagggggggghhhhhhh!	Dr. Reid! I've seen you strutting around this place with your can-do attitude, and I know that you think because you're a female doctor, you're part of the solution. But you're not. Everything about you screams, "What does the cutie in Radiology think about me?" And yes, your friend Dr. Turk, he may ask you relationship advice or where to get his unfortunate girlfriend some naughty lingerie because we both know that when it comes to gifts, women all crave a nice leather push-up bra with tassels that go around and around and around like this but still, I ask you, is that _respect_?Uh, don't answer. I don't care!
Yes! He fell! I'm gonna get away!	Move, Barbie! Move! Barbie!
Ook! Waaagh!	Yes! He fell! I'm gonna get away!
Ack!	Like you read about.Come here, you.
Well, uh....	Come on!
Dr. Cox had nothing to do with me going to see your scary friends. I did it all on my own.	Spill.
You okay?	Fine. You want some straight shootin'? I'm glad that you're dealing with Ben's death so well. The fact is I'm strugglin'. And having those two harpies nesting in our home is not helping. For the life of me, Jordan, I cannot figure out why they're still here. It is beyond me!
Oh, oka that's going in the box. Girl's names are out. That's why we have a box.	Why don't you grow a pair, Sally!
At that moment, Dr. Cox knew why Jordan's friends were still around.	Well, then you should try stepping into our shoes! Even the strongest women walk around with this thick coat of armor all day long, because God forbid we should show the slightest sign of weakness. So just squeeze those smelly, oversized feet into the shoes of someone you really care about; and trust me, in a heartbeat you will know the right thing to do.
There will always be a battle for power between the sexes.Sometimes a man just has to give in.	Yes. Why don't we.
Other times it's enough just to take a positive step.And once in a while, even it seems cliché, a man just has to be there for her.	Okay.
I couldn't help but think two things. First, I do look stunning in these navy scrubs I mean, come on, who wants a taste? Second, everyone's day begins differently around here.The surgeons for instance are the most superstitious bunch. So they always start their mornings with an oddly homo-erotic ass slap...	Exactly! And who in God's name wants to hear that every day?! "Good morning." In the immortal words of Daffy Duck: I demand that you shoot me now.If only.
...and then their own personal good luck rituals.	Dude! Too deep!
Why don't you just use Power Rangers?	Ohhh, where's my lucky Tabasco 'do-rag!?
You remember when communications with Zordon went down and the Megazord was destroyed?	How are Power Rangers as lucky as Tabasco?
Power Rangers, hoooaaa!	How did I miss that episode? Ohh, that's right I was making love to a woman.
All you can really hope is that nothing bites you on the ass.	Power Rangers, hoooaaa!
Are you counting the boil you lanced yesterday?	Since I been wearing that Tabasco 'do-rag, my surgery record's like 23 and 0.
So why don't you just take off your underwear?	Question: Did he die? Answer: No, he did not. The point is, I gotta stick with whatever's hot. Like last month, it was not wearing any underwear.
Todd knows about the underwear thing?	That's what I keep telling him!
Powerful, tiny fists....	I felt it!
He's back.	Hm!
What I believe is that the most minor event even a butterfly flapping its wings can affect everything.	I need my lucky 'do-rag!
Because once that seemingly insignificant event happens....	Hillside landing.
...It sets everything else in motion.	Baby, I wasn't looking at her lovelies. Okay? I was looking at the butterfly that just happened to _land_ on her lovelies. And who could blame it? There they are, all snuggly and safe and whatnot....
Uncomfortable!	...It sets everything else in motion.
She did it!	Okay, who do I kill?
And insignificant events can lead to significant events.Like me being on time and Dr. Cox being late for a change.	I would love to, Darlin', but I'm a little bit busy right now.
Uh-oh. You've gotta cover for him.	Where the hell is Dr. Cox? His shift started four minutes ago!
Have to learn to play the banjo.	Uh-oh. You've gotta cover for him.
Yes, sir!	Dammit, son, are you listening to me?
And _buy_ a banjo.	Yes, sir!
And here he is!	Hey, fellas. What'd I miss?
Uh, Dr. Kelso? That's my pen.	You know, Perry, since Dr. Dorian was on time and you were busy in the break room coming up with that hilarious "better-worse" bit, maybe you should answer to him all day.
Well, I'm a lefty.	Nice grab.
It's your show, Debbie. Is this moment just like you always pictured?Stupid homemade dolls....It's a little bigger...?	You know, my head's probably going to melt when I say this but Kelso's idea wasn't half bad. Letting you run this place for a day would be a great educational experience. And, come on, let's face facts the training bra's got to come off eventually. So, it's your show, Debbie. Is this moment just the way you always pictured it?
Sounds to me like a G.I. bleed.	Yes. Yes, you are. Fortunately, though, your vitals are normal, so we'll check back with you in a little while.
Come on...you can do this. Navy scrubs! Navy scrubs! Navy scrubs!	Sounds to me like angina.
Hhhheeeere's the deal, Eleanor: We're gonna go ahead and get a full work-up on this guy. So, while I drop an NG tube and do a gastric lavage, why don't you go ahead and get an order on EKG with cardio biomarkers. If you need to know where those are, they're on page 37 of the Ann Taylor catalog right next to that salmon cable-knit sweater you've wanted for so long but haven't had the courage to order...'cause you're worried the weave's so thin, your nipples might just go ahead and peek their little pink selves through. Isn't that right, Dr. Cox....Dr. Cox...	Come on...you can do this. Navy scrubs! Navy scrubs! Navy scrubs!
I don't like candy bracelets.	Oh, I-I-I'm sorry. Here I was in my own little world, talking to myself and dreaming about candy bracelets.
I love them!Now you gotta grab that elevator. But not without giving him his patented shoulder bump!	I don't like candy bracelets.
Good day.OW!How you like me now?	I love them!Now you gotta grab that elevator. But not without giving him his patented shoulder bump!
Oh, I think I know her! Does she have blonde hair?	Nope. But I had the pleasure of meeting Helen, the laundry room lady.
Brown hair?	No.
No hair!	Y-nuh-uh.
Yeah, that's from the dryers.Hey! You know, the janitor's still downstairs. Why don't we just check his custodial closet?	That's the one.
Randall?!	'Sup.
So that's why he's been back in my dreams....	Just got the job, brah.
Gotta go.	Beat it.
You'd be surprised how when one thing goes wrong around here, everything seems to go wrong.	You forgot. You never pay attention to the little things that are important to me.
What happened?	You'd be surprised how when one thing goes wrong around here, everything seems to go wrong.
I don't get it, he wasn't showing any signs of distress!	No pulse in lower extremities.
Uh...let's get him a CT angiogram stat.	Come on, come on, come on! We gotta make a decision here.
Call surgery. Tell 'em we're on our way.	Good.It's an aortic dissection. It's bad.
In a hospital, it's hard to avoid letting people down.Whether it's someone you made a promise to...	Call surgery. Tell 'em we're on our way.
...or someone you love...	Let's go, Gandhi! You're on!
...or even letting down someone you barely knew at all.In the end, it's the "what ifs" that hurt the most. Like, what if things had gone a little differently?	Turk, I'm sorry!
Me, I don't believe in fate. I believe we have more control than we think, and that every action has a reaction. After all....The most minor event even a butterfly flapping its wings can change everything. Sometimes for the better. Even if it doesn't seem like it at first.	Lookit, it's just that aortic dissections are a doctor's worst nightmare. If you don't catch 'em early, there's about a ninety percent mortality rate. I mean, honestly, unless your patient was lucky enough to trip and fall into a CAT-scan machine, he wasn't gonna have a happy ending. Newbie, we didn't have a chance on this one.
I can't.	Look away.
Mmmm! Orange Goo Goo!	Kssshhh!
Heh. So charming. Could you be half as nice to me as you are to her?	I'm blushing.
Fresh start.	You are right. We need a fresh start. Come on.
How long do ya...suppose this'll be?	Mm-hmm.I think we need a longer fresh start.
And insignificant events can lead to significant events.Like me being late because I was in the world's longest handshake.	Probably ten minutes.Ease into it. Let's mix it up let's saw some wood. There we go. Nice. Very good.
Sorry I'm late. What'd I miss?	And insignificant events can lead to significant events.Like me being late because I was in the world's longest handshake.
I should get Turk a washboard!	Take a wild guess.
Uh, Dr. Kelso? That's my pen.	Maybe so, but I started those things promptly at 8.
I'm a righty.	Nice grab.
Sounds to me like a G.I. bleed.	Yes. Yes, you are. Fortunately, though, your vitals are normal, so we'll check back with you in a little while.
Whatever. Just avoid the shoulder bump, catch the elevator, and make a great wise-ass remark before the doors close!	Look, Newbie, if you go ahead and leave this hospital knowing only one thing and God save me, it looks like there's a real chance that might happen please let this be that one thing: I'm in charge, and I don't care about your opinion. Now go get me a cup of coffee.
Hoohoo, hey, Dr. Cox, if you're so smart, maybe you should just...go ahead and be the...you're the kind of......Oh, dammit!I don't know what happened there. I'm usually quick and funny....	Whatever. Just avoid the shoulder bump, catch the elevator, and make a great wise-ass remark before the doors close!
Have you ever noticed that words that rhyme with "bowel" are always bad? Like "scowl", "growl"..."movies with Andie MacDowell"....	Mm.
Stop.	You're right, J.D. You are funny.
Ischemic bowel! That's it!	Stop.
You'd be surprised how when one thing goes right around here, everything seems to go right.	Ah.
Look, Dr. Cox, I know my opinion doesn't mean anything and I'm always wrong and apparently useless which deep down you know isn't true because... ...shoot, I forgot your coffee. Anyway, I was thinking we should get a CT scan on Mr. Strauss, because he might have bowel ischemia.	You'd be surprised how when one thing goes right around here, everything seems to go right.
All right.It doesn't look like he's ischemic.	You know what, what the hell. It can't hurt. Let's get on it.
In a hospital, it's great when you get to come through for someone.	That's very good. Laverne, will you call the O.R. and have it prepped?
Of course, it still doesn't always work out the way you'd hope.	Clamp.
In the end, you learn to treasure the times when things go your way.	Rachel, clean up.
And be there for the ones you love when they don't.And most importantly, you learn to accept that some things are out of your hands.	So glad you're okay!
Yeah....	Didn't matter when we caught it, Newbie. It was just his time.
But still, with so much of life left up to chance, you can't help but look back and wonder.... What if things had been different...?	Yeah....
That means "good morning"!	Morning!
Enough beads! No more flashing.	Oooh.Come on!!!!
Fine.	More beads, dammit! Come on!
Only because Jasper becomes an innie when he gets nervous....Still	Sounds pretty embarrassing.
Of course, not all relationships are as solid as Carla's and mine.	Only because Jasper becomes an innie when he gets nervous....Still
Latah!That means "I'll be seeing you later."	I gotta give Mr. Ingram his meds so, latah!
How else am I supposed to know?	You want my fiancée? Just go ahead and take her, 'cause she's been nagging the crap outta me. "Pick up your socks. Wash your dishes. Stop whispering 'booya' to J.D. in the morning after we have sex."
Ooooooh! That ass warrants the Batman sound effects loop!	I'm sayin'!
ZAP!	POW!
Tushie parts?	Turk, how come every time I turn around you're checking out some woman's you-know-what?
That means "now she all maaad."	Thanks for having my back.Babe.
Sometimes a new face will just outright surprise you.	So, if any of you are interested in following in the philanthropic footsteps of Dr. Ramirez, he has graciously offered to answer any of your questions.I told you no one would care.
I think he gets bored.	Why is he doing that?
And yet the salads always suffer....	It's good, isn't it? That's because every time Estelle's working, she puts extra croutons into the stuffing.
Kudos on the nice pooper.	Hi!
Mine's firm, like mutton.	...Thank you...
Please say you heard.	You didn't hear what happened?
Damn you, Ron!	No, I didn't!
Nooooo!	Steve took a year off to take care of his parents, and while he was gone, Sherry starting seeing Dr. Harding.
Nooooo!	Sherry and Gary?
Oh, thank God!You know, 'cause they...they both died doing what they loved.... Rafting.	Yes!
Every minute of every day.	When do you think of this stuff?
I don't know.... Can I press yours?Not always harmless.	Can I press your button?
It's always a risk when you go out on a limb. Ultimately, you just make yourself vulnerable.	Hey! Uh, Carla.... I was, uh, wondering if...you wanted to grab dinner with me tonight.
And you just hate to see anyone get crushed. ...Even Dr. Hot Butt.	So what do you say?
I'm sorry, what?	Sure! That sounds great!
Shame!	I don't know! He asked me out to dinner and I said yes! It just came out!
"Ronnie"?	Look! Everyone thinks it's just guys who get all freaked out before the wedding, but it happens to women too!
Now I want you to go.	"Ron." Ron he's not just some guy, J.D. He's my "what if?" guy. The one I always wondered about, the one I idealized, you know?
That she's a sorceress!	Now I want you to go.
Then you won't mind if I tell Turk!	Look, I would never do anything inappropriate.
Damn beads....	If you have to, go ahead. But! Then I'll know that we're not as close as I thought!
Uncool!	Ooh! Lemon zinger!
...What you'd look like if you were Chinese...?	What were you thinking about?
Hoo! That was lucky!	Me too!
Sometimes around here you can't believe what you're seeing......Other times it's as clear as day.	And that, boys, is a brotherly handshake.
AGGH!	Hey!
I got lots of time to talk. Do you wanna talk about anything? Anything? Hours to talk. We could talk about our feelings. Wh-what's up?	You got a minute to talk?
Well, I wouldn't put it that way in your vows.... Hand me that?	So I'm supposed to marry someone who's gonna bust my chops every time I look at a woman for the rest of my life?
I hear they're coming out with a 'Stuart Little 3'.	Nag! Nag! Nag! Nag! You see how Carla is lately. I mean, is that all I have to look forward to?
Turk, don't you have any work to do?	Nah, it's on hold. The director dropped out.
Beads, keep me strong!	Dude. Surgeon.
Nothing.	What?
Awww, that's great. She's gonna go Wait, what?	I'm gonna go tell Turk.
Whatever you do, don't scream.	Whoooa!
I don't know. People always said that in the movies.	Why would I scream?
Well, that's up to you, isn't it! Gotta go!	But still, what if I want to tell him?
It's hard when you lose for the first time.It's even harder when it's the hundredth time.	Hell, no! You lost! Live with it!
And yet sometimes losing is a good thing.Like, for instance, when you lose your insecurities about the guy you're marrying, which makes it a whole lot easier to cut him some slack once in a while.	What, give up my front-row seat to Barbie's Wild Ride? "He's a drug addict! He's not a drug addict! You make me doubt my self!"You're more interested in being right than doing what's right! And I just couldn't take it! Can't take it anymore!"
I guess you can never underestimate how the smallest gesture can make everything better.	Yeah. Besides, you're cutting up your napkin.
You know, for a minute there I actually thought you had a twin brother.	I guess you can never underestimate how the smallest gesture can make everything better.
Mm.	Really?
Stop it.	Was it when my twin brother was here?
Things Jordan says during sex! Ha!	We're four seconds in and I'm already regretting my decision.
Noooo. They're the charts you wanted, plus! patient history charts from the last ten years, which yours truly stayed up all night organizing not only chronologically but by severity of condition.There's a good chance I'm gonna kill someone.	Are those the charts I wanted?
Clever.	Things you say when you talk to your patients.
No, but wait!I already got my shifts covered for the next two days! Besides, where're you gonna find somebody else? You think Lonnie, my intern, gives a rat's ass about acute thomrobotic thrombocytopenic purpura?	Ah, don't bother with that, Trish. You know, I've been getting my hair cut by my barber, Big Frank, for seventeen years now. Is it because his prices remained the same? No. Is it because I like the way his man-breasts feel gently resting on my shoulders when he does my sideburns? A little, yes. But, mainly, it's because, unlike you, he does just exactly what I tell him to do. You see, it's my way or the highway, and since you've already broken that dictum you're out!
Kiss ass.	It is gonna be so amazing working on the disease that tore my family apart.
I guess I could go home.... But there's plenty of important stuff I need to do around here.	Kiss ass.
Hey, Laverne. What'd you give me if I get this jelly bean into your cleavage?	I guess I could go home.... But there's plenty of important stuff I need to do around here.
You got the fellowship?	Guys! Three long years of busting my hump at this place and it has finally paid off!
Aaaagggghhhh!	Oh, no he didn't.
Not worth it.	Haaaaah!
Come on, don't get mad at Turk. What's really bugging me is that, thanks to Dr. Cox, I've got nothing to do...nothing to talk about...no stories to tell.	Fine. Don't lick 'em.
Ooh, you know, if it helps, I could I could examine her...for you. Elliot, please!Ow! It hurt through my helmet!	Meanwhile, back in adult world.... I was just given twelve new admits and now there's no way that I can be a clown for the kids today!
I don't know the exact distance in terms of feet and inches, but in laymen's terms, I would have to say...about halfway.	Okay, okay, okay.
Ow!	I don't know, sir.
Owwww.	Ah, ba da ba.
Dr. Reid couldn't be here today, children, so I'm here in her place.	Kurt was the one that was always there for me. And at the end of the day, that's who you want the guy who shows up when you need him, without having to ask.
Well, Brad, I'm the type of clown that likes to wear tight pants.	Why're your pants so tight? Clowns have baggy pants!
What other clown?	But the other clown has baggy pants!
Janitor!	Hello, old friend.
Save it for the post-show, Lurch.I think what Angry, Disturbed Clown is trying to teach us is that it's never funny to push!	You're a horrible clown.
Okay, let's take a little break, kids. Duck, Duck, Eel.	Dr. Dorian?
