respond	context_0	context_1	context_2
I mean, YEAH! Of course!	Huh?	Oh.	Will you be my best man?
Thank you so much!	Hell yeah, you will!	I mean, YEAH! Of course!	Huh?
It finally happened!	What?	A decoder ring! Heh.TURK!	So is this, like, the best moment you guys have ever had?
Thanks. Thanks for coming back.	Newbie! It turns out I, uh, I do have some best man advice. Go easy on the mascara in case you cry during your toast. And if you're gonna chase after the bouquet with all of the other girls, make sure you kick off your pumps so you don't snap one of those chicken ankles of yours.	Probably.	Why can't I sit on you!? Why?
Even if you've done a procedure five thousand times, there's no guarantee you won't screw up number five thousand, one.	Barbie. Are you sure you went into his lungs? 'Cause it looks like you're blowing up his stomach.Aw, dammit, his O2 sat's dropping. Get out of the way, honey; come on.	Thanks. Thanks for coming back.	Newbie! It turns out I, uh, I do have some best man advice. Go easy on the mascara in case you cry during your toast. And if you're gonna chase after the bouquet with all of the other girls, make sure you kick off your pumps so you don't snap one of those chicken ankles of yours.
Can I practice my toast on you?	A few more seconds, we would have been coding this guy.Barbie, as hard as it is to remember, but _air_ goes in _the lungs_.	Even if you've done a procedure five thousand times, there's no guarantee you won't screw up number five thousand, one.	Barbie. Are you sure you went into his lungs? 'Cause it looks like you're blowing up his stomach.Aw, dammit, his O2 sat's dropping. Get out of the way, honey; come on.
I'm opening with a quote from 'Spartacus'.	No.	Can I practice my toast on you?	A few more seconds, we would have been coding this guy.Barbie, as hard as it is to remember, but _air_ goes in _the lungs_.
I can't reach!	Put one hand on the floor!	It _is_ hot!	Okay, ready? Five, six, seven, eight.And one, two, three, four, five six, seven, eight.
I can feel it burning!	You better feel the burn!	I can't reach!	Put one hand on the floor!
Well, we grew up in ...	Where I grew up, they didn't allow two men to marry.	I can feel it burning!	You better feel the burn!
...There you gotta do things like test suits out...	Well, shoot, I grew up in the 'hood ...	Well, we grew up in ...	Where I grew up, they didn't allow two men to marry.
Uh.... I'm the best man. Do you have any advice for me to give my friend?	...That's right.I'ma go change.	...There you gotta do things like test suits out...	Well, shoot, I grew up in the 'hood ...
Yeah, I'll make sure and do that.	Just remind him over and over that the wedding is all about what the woman wants.	Uh.... I'm the best man. Do you have any advice for me to give my friend?	...That's right.I'ma go change.
No, why?	Did you tell anybody about my epiphany toilet?	What now?	Cool.
AGH!	'Cause I need to, uh, talk to you in private? Sort of man to man?	Phew! False alarm.	Have you seen Carla around?
So I can get to my patients faster.	You're drawing lightning bolts on your Nikes.	I can't right now, Turk. I am completely swamped.	AGH!
Later's no good, dude. I gotta stop by the tux shop, then I gotta finish telling my whole family that you picked me as your best man!	How 'bout later?	So I can get to my patients faster.	You're drawing lightning bolts on your Nikes.
Cool. I'll see you tomorrow.	Yeah-heh. I have to go.	You should see us gettin' down when we try pants on together.	Oh, yeah, nice guy...good surgeon...great dancer.
Why? Why do you have to do that?	Uh, actually, no. I got a call I have to go back to my hospital.	Cool. I'll see you tomorrow.	Yeah-heh. I have to go.
I know.	Well, look at it this way: Uh, I may be leaving here, but I will always be there.	Why? Why do you have to do that?	Uh, actually, no. I got a call I have to go back to my hospital.
Ha, I know.... Okay. Well, sir, it was amazing to work with you.	I am so messing with you.	I know.	Well, look at it this way: Uh, I may be leaving here, but I will always be there.
Okay, sorry.	Thank you.And that's three seconds!	Ha, I know.... Okay. Well, sir, it was amazing to work with you.	I am so messing with you.
Watching Kevin go, I wondered how gay I looked giving that two-handed handshake. And also how weird it was that someone could just walk into your life, have such a big impact, and then vanish just like that, never to be seen again.But mostly I thought about how, in some small way, Kevin had helped every single person he met here.	Okay.	Okay, sorry.	Thank you.And that's three seconds!
He didn't help a lot of people, Elliot. It was just me, and Turk, and Carla, and Dr. Cox, and Doug, and Dr. Mickhead	Look, I don't wanna sound pathetic, but, he didn't even help me.	I haven't seen them.	Where my hos at?
_Was_ in rehab, Elliot. Was. He'll never huff paint again.	Mickhead? No, Mickhead's in rehab.	He didn't help a lot of people, Elliot. It was just me, and Turk, and Carla, and Dr. Cox, and Doug, and Dr. Mickhead	Look, I don't wanna sound pathetic, but, he didn't even help me.
There's Turk. I gotta go.	All right, see, with intubating....I can't seem to intubate patien	_Was_ in rehab, Elliot. Was. He'll never huff paint again.	Mickhead? No, Mickhead's in rehab.
I wanna say tennis....	Which sport are we talking about?	Yeah, me too.	With Marbury, I really believe New York has a shot at the title, man.
It's always uncomfortable when two guys wanna say something each other.	The only reason I asked my brother to be best man was because I knew he couldn't come to the wedding. But now his plans have changed and he's all excited. Dude, it has to be you, you know that.	I wanna say tennis....	Which sport are we talking about?
Solid.You know, if it makes it easier, I guess we could be co-best men.	Dude, look, man, you're my friend and I frickin' love you; and no one's looked out for me like you have.Cool.	Look, you've been my best friend for ten years, man; I've loved you since college, and you know I'd do anything for you.	It's always uncomfortable when two guys wanna say something each other.
...Even though...God said it's supposed to be one....	You have no idea how much stress that would relieve.	Solid.You know, if it makes it easier, I guess we could be co-best men.	Dude, look, man, you're my friend and I frickin' love you; and no one's looked out for me like you have.Cool.
No reason.	Dude. Why is your tux gonna cost four thousand dollars?	I think it's human nature to search for answers.	I can't believe it's gone.
I guess the important thing is to never stop searching.	Well done, there, Barbie. You're now exactly where you were three years ago.	But more often than not, the answers we've been looking for have been inside us all along.	Dairy Queen!
I'll help you. Nah. Okay.	Occupied!	I guess the important thing is to never stop searching.	Well done, there, Barbie. You're now exactly where you were three years ago.
It was a gift.	Hup-pah-bah! Would you zip it, nerd? The only reason I invited you is	Will there be a piñata? Because I need to know if I should bring my piñata helmet.	How about a Russian Roulette booth? And here's the kicker. We put bullets in ALL the
Why not?	Anyhoo. I'm thinking that you probably shouldn't come.	From me to me.	It was a gift.
I can't!	Oh. Bloody. That's good. Now this time, try and do it with your	Thorns! Ah! Augh! Ow! Ouch! Ah!	No.:
Can I see that for one second?DRRRRRRRRRRRRRRRRRRRRRRRRR! GRRRRRRRRRRRRRRRRRRRRRRRR!	That's perfect.	I can't!	Oh. Bloody. That's good. Now this time, try and do it with your
I need to get it started first.	Not a strong moment for you, Polly.	Can I see that for one second?DRRRRRRRRRRRRRRRRRRRRRRRRR! GRRRRRRRRRRRRRRRRRRRRRRRR!	That's perfect.
I have to get going.	You know something? You have slept with both of my sisters. That means you	Is this thing made of Teflon?	Uh-huh.
For the life of me, I can't figure out his irregular heartbeat.	Hiiiiii.	Dr. Cox, I can't. I'm already covering for Doug. He's on a His-and-Her Spa Day withDon't ask. The point is, I'm swamped. And I'm a little worried about Mr. Taylor here.Mr. Taylor.	Only me. Long story short, your new job is to take young Ben here by the hand and
Twenty minutes after you left, he went into cardiac arrest.	What's the matter with you there,	Dr. Cox.	That hurt here,
So wait. You think this was my fault?	Not anymore. I'm taking all your patients.	I'm on call tonight.	What are you still doing here?
Thanks. I really needed to hear that.	Look, I just want to say. That what happened. Wasn't your fault. And I'm	You know, you're right. I was an idiot to buy these shower shorts. I mean, it's not like	Those are the most ridiculous things I have ever seen.
Where do you think we are?	You know. Crying babies. Covered in chocolate. People singing	Pictures of what?	Now, where is your camera? Aren't, aren't you going to take some pictures?
The...reason Turk's in such a rush is because he's starting a rotation with the hospital's new attending surgeon.	Booga! Booga! Booga! Booga!Wooo! Ack!	Every time Turk's in a hurry, I'm always tempted to jump out and scare him. Well, today's the day!	I'll handle this. I think what Garfunkle here is trying to say is that you should all take a second, think seriously about what's really bothering you, and then have a big group unbunching of your panties.
I could tell what the guys were thinking.	So.... You guys my new residents?	The...reason Turk's in such a rush is because he's starting a rotation with the hospital's new attending surgeon.	Booga! Booga! Booga! Booga!Wooo! Ack!
So, uh, Jordan seems to be doing pretty well.	Right! Let's go and get drunk before pilates!	You know, down the street on the right, they'll make an appletini that'll knock your socks off.	Where can one get a nice gin and tonic?
How 'bout you? How you holding up?I...I know it's been kind of tough with Ben dying.Are you gonna talk ever?	You know Jordan, she is a rock.	So, uh, Jordan seems to be doing pretty well.	Right! Let's go and get drunk before pilates!
That's a beautiful sentiment.	Let me go ahead and tee this up for you, there, Annika: We are all going to die someday. For the lucky few of us it'll be nice and fast. But for most of us it'll be just as long and slow and painful as a conversation with you.	How 'bout you? How you holding up?I...I know it's been kind of tough with Ben dying.Are you gonna talk ever?	You know Jordan, she is a rock.
No, no, no, no, no, no! No, no, no switchies. I think we should all be happy with the bras God gave us! I really should go.	Damn. Let's switch.	Ohh, yes.	Does this bra make my boobs look real?
Well, you wouldn't see my face because it would be buried in your chest, giving you the hug you've been afraid to ask for your whole life!	Then for the last time, don't stick any part of your hairless body into my business. Trust me, there is nothing for you to gain from it. Because even if you went on a cruise to the most remote regions of the ocean and rescued my drowning, salt-soaked body in time to pump the sea water out of my lungs and bring me back from the brink of death, I would STILL be upset that the first face I saw was yours!	Actually, yes. I caught the matinee of that show; definitely not for the whole family.	May I ask you something, there, Judy? Do you have any idea what it's like to have three angry, under-fed women tear you several new ones for a full hour?
Now, if you don't want my help, then fine, I'll back off.... But only because I feel a little bit guilty.	Huh!	Well, you wouldn't see my face because it would be buried in your chest, giving you the hug you've been afraid to ask for your whole life!	Then for the last time, don't stick any part of your hairless body into my business. Trust me, there is nothing for you to gain from it. Because even if you went on a cruise to the most remote regions of the ocean and rescued my drowning, salt-soaked body in time to pump the sea water out of my lungs and bring me back from the brink of death, I would STILL be upset that the first face I saw was yours!
Yes! He fell! I'm gonna get away!	Move, Barbie! Move! Barbie!	Aaaaaaaaagggggggghhhhhhh!	Dr. Reid! I've seen you strutting around this place with your can-do attitude, and I know that you think because you're a female doctor, you're part of the solution. But you're not. Everything about you screams, "What does the cutie in Radiology think about me?" And yes, your friend Dr. Turk, he may ask you relationship advice or where to get his unfortunate girlfriend some naughty lingerie because we both know that when it comes to gifts, women all crave a nice leather push-up bra with tassels that go around and around and around like this but still, I ask you, is that _respect_?Uh, don't answer. I don't care!
Well, uh....	Come on!	Ack!	Like you read about.Come here, you.
Dr. Cox had nothing to do with me going to see your scary friends. I did it all on my own.	Spill.	Well, uh....	Come on!
Oh, oka that's going in the box. Girl's names are out. That's why we have a box.	Why don't you grow a pair, Sally!	You okay?	Fine. You want some straight shootin'? I'm glad that you're dealing with Ben's death so well. The fact is I'm strugglin'. And having those two harpies nesting in our home is not helping. For the life of me, Jordan, I cannot figure out why they're still here. It is beyond me!
Why don't you just use Power Rangers?	Ohhh, where's my lucky Tabasco 'do-rag!?	...and then their own personal good luck rituals.	Dude! Too deep!
You remember when communications with Zordon went down and the Megazord was destroyed?	How are Power Rangers as lucky as Tabasco?	Why don't you just use Power Rangers?	Ohhh, where's my lucky Tabasco 'do-rag!?
Power Rangers, hoooaaa!	How did I miss that episode? Ohh, that's right I was making love to a woman.	You remember when communications with Zordon went down and the Megazord was destroyed?	How are Power Rangers as lucky as Tabasco?
So why don't you just take off your underwear?	Question: Did he die? Answer: No, he did not. The point is, I gotta stick with whatever's hot. Like last month, it was not wearing any underwear.	Are you counting the boil you lanced yesterday?	Since I been wearing that Tabasco 'do-rag, my surgery record's like 23 and 0.
Todd knows about the underwear thing?	That's what I keep telling him!	So why don't you just take off your underwear?	Question: Did he die? Answer: No, he did not. The point is, I gotta stick with whatever's hot. Like last month, it was not wearing any underwear.
He's back.	Hm!	Powerful, tiny fists....	I felt it!
She did it!	Okay, who do I kill?	Uncomfortable!	...It sets everything else in motion.
Uh-oh. You've gotta cover for him.	Where the hell is Dr. Cox? His shift started four minutes ago!	And insignificant events can lead to significant events.Like me being on time and Dr. Cox being late for a change.	I would love to, Darlin', but I'm a little bit busy right now.
Yes, sir!	Dammit, son, are you listening to me?	Have to learn to play the banjo.	Uh-oh. You've gotta cover for him.
And here he is!	Hey, fellas. What'd I miss?	And _buy_ a banjo.	Yes, sir!
Well, I'm a lefty.	Nice grab.	Uh, Dr. Kelso? That's my pen.	You know, Perry, since Dr. Dorian was on time and you were busy in the break room coming up with that hilarious "better-worse" bit, maybe you should answer to him all day.
It's your show, Debbie. Is this moment just like you always pictured?Stupid homemade dolls....It's a little bigger...?	You know, my head's probably going to melt when I say this but Kelso's idea wasn't half bad. Letting you run this place for a day would be a great educational experience. And, come on, let's face facts the training bra's got to come off eventually. So, it's your show, Debbie. Is this moment just the way you always pictured it?	Well, I'm a lefty.	Nice grab.
Come on...you can do this. Navy scrubs! Navy scrubs! Navy scrubs!	Sounds to me like angina.	Sounds to me like a G.I. bleed.	Yes. Yes, you are. Fortunately, though, your vitals are normal, so we'll check back with you in a little while.
I don't like candy bracelets.	Oh, I-I-I'm sorry. Here I was in my own little world, talking to myself and dreaming about candy bracelets.	Hhhheeeere's the deal, Eleanor: We're gonna go ahead and get a full work-up on this guy. So, while I drop an NG tube and do a gastric lavage, why don't you go ahead and get an order on EKG with cardio biomarkers. If you need to know where those are, they're on page 37 of the Ann Taylor catalog right next to that salmon cable-knit sweater you've wanted for so long but haven't had the courage to order...'cause you're worried the weave's so thin, your nipples might just go ahead and peek their little pink selves through. Isn't that right, Dr. Cox....Dr. Cox...	Come on...you can do this. Navy scrubs! Navy scrubs! Navy scrubs!
Good day.OW!How you like me now?	I love them!Now you gotta grab that elevator. But not without giving him his patented shoulder bump!	I don't like candy bracelets.	Oh, I-I-I'm sorry. Here I was in my own little world, talking to myself and dreaming about candy bracelets.
No hair!	Y-nuh-uh.	Brown hair?	No.
Yeah, that's from the dryers.Hey! You know, the janitor's still downstairs. Why don't we just check his custodial closet?	That's the one.	No hair!	Y-nuh-uh.
So that's why he's been back in my dreams....	Just got the job, brah.	Randall?!	'Sup.
Gotta go.	Beat it.	So that's why he's been back in my dreams....	Just got the job, brah.
Uh...let's get him a CT angiogram stat.	Come on, come on, come on! We gotta make a decision here.	I don't get it, he wasn't showing any signs of distress!	No pulse in lower extremities.
Call surgery. Tell 'em we're on our way.	Good.It's an aortic dissection. It's bad.	Uh...let's get him a CT angiogram stat.	Come on, come on, come on! We gotta make a decision here.
Me, I don't believe in fate. I believe we have more control than we think, and that every action has a reaction. After all....The most minor event even a butterfly flapping its wings can change everything. Sometimes for the better. Even if it doesn't seem like it at first.	Lookit, it's just that aortic dissections are a doctor's worst nightmare. If you don't catch 'em early, there's about a ninety percent mortality rate. I mean, honestly, unless your patient was lucky enough to trip and fall into a CAT-scan machine, he wasn't gonna have a happy ending. Newbie, we didn't have a chance on this one.	...or even letting down someone you barely knew at all.In the end, it's the "what ifs" that hurt the most. Like, what if things had gone a little differently?	Turk, I'm sorry!
I can't.	Look away.	Me, I don't believe in fate. I believe we have more control than we think, and that every action has a reaction. After all....The most minor event even a butterfly flapping its wings can change everything. Sometimes for the better. Even if it doesn't seem like it at first.	Lookit, it's just that aortic dissections are a doctor's worst nightmare. If you don't catch 'em early, there's about a ninety percent mortality rate. I mean, honestly, unless your patient was lucky enough to trip and fall into a CAT-scan machine, he wasn't gonna have a happy ending. Newbie, we didn't have a chance on this one.
Fresh start.	You are right. We need a fresh start. Come on.	Heh. So charming. Could you be half as nice to me as you are to her?	I'm blushing.
How long do ya...suppose this'll be?	Mm-hmm.I think we need a longer fresh start.	Fresh start.	You are right. We need a fresh start. Come on.
And insignificant events can lead to significant events.Like me being late because I was in the world's longest handshake.	Probably ten minutes.Ease into it. Let's mix it up let's saw some wood. There we go. Nice. Very good.	How long do ya...suppose this'll be?	Mm-hmm.I think we need a longer fresh start.
I should get Turk a washboard!	Take a wild guess.	Sorry I'm late. What'd I miss?	And insignificant events can lead to significant events.Like me being late because I was in the world's longest handshake.
I'm a righty.	Nice grab.	Uh, Dr. Kelso? That's my pen.	Maybe so, but I started those things promptly at 8.
Whatever. Just avoid the shoulder bump, catch the elevator, and make a great wise-ass remark before the doors close!	Look, Newbie, if you go ahead and leave this hospital knowing only one thing and God save me, it looks like there's a real chance that might happen please let this be that one thing: I'm in charge, and I don't care about your opinion. Now go get me a cup of coffee.	Sounds to me like a G.I. bleed.	Yes. Yes, you are. Fortunately, though, your vitals are normal, so we'll check back with you in a little while.
Stop.	You're right, J.D. You are funny.	Have you ever noticed that words that rhyme with "bowel" are always bad? Like "scowl", "growl"..."movies with Andie MacDowell"....	Mm.
All right.It doesn't look like he's ischemic.	You know what, what the hell. It can't hurt. Let's get on it.	Look, Dr. Cox, I know my opinion doesn't mean anything and I'm always wrong and apparently useless which deep down you know isn't true because... ...shoot, I forgot your coffee. Anyway, I was thinking we should get a CT scan on Mr. Strauss, because he might have bowel ischemia.	You'd be surprised how when one thing goes right around here, everything seems to go right.
In the end, you learn to treasure the times when things go your way.	Rachel, clean up.	Of course, it still doesn't always work out the way you'd hope.	Clamp.
And be there for the ones you love when they don't.And most importantly, you learn to accept that some things are out of your hands.	So glad you're okay!	In the end, you learn to treasure the times when things go your way.	Rachel, clean up.
Yeah....	Didn't matter when we caught it, Newbie. It was just his time.	And be there for the ones you love when they don't.And most importantly, you learn to accept that some things are out of your hands.	So glad you're okay!
Fine.	More beads, dammit! Come on!	Enough beads! No more flashing.	Oooh.Come on!!!!
How else am I supposed to know?	You want my fiancée? Just go ahead and take her, 'cause she's been nagging the crap outta me. "Pick up your socks. Wash your dishes. Stop whispering 'booya' to J.D. in the morning after we have sex."	Latah!That means "I'll be seeing you later."	I gotta give Mr. Ingram his meds so, latah!
Ooooooh! That ass warrants the Batman sound effects loop!	I'm sayin'!	How else am I supposed to know?	You want my fiancée? Just go ahead and take her, 'cause she's been nagging the crap outta me. "Pick up your socks. Wash your dishes. Stop whispering 'booya' to J.D. in the morning after we have sex."
ZAP!	POW!	Ooooooh! That ass warrants the Batman sound effects loop!	I'm sayin'!
That means "now she all maaad."	Thanks for having my back.Babe.	Tushie parts?	Turk, how come every time I turn around you're checking out some woman's you-know-what?
Mine's firm, like mutton.	...Thank you...	Kudos on the nice pooper.	Hi!
Nooooo!	Steve took a year off to take care of his parents, and while he was gone, Sherry starting seeing Dr. Harding.	Damn you, Ron!	No, I didn't!
Oh, thank God!You know, 'cause they...they both died doing what they loved.... Rafting.	Yes!	Nooooo!	Sherry and Gary?
I'm sorry, what?	Sure! That sounds great!	And you just hate to see anyone get crushed. ...Even Dr. Hot Butt.	So what do you say?
Now I want you to go.	"Ron." Ron he's not just some guy, J.D. He's my "what if?" guy. The one I always wondered about, the one I idealized, you know?	"Ronnie"?	Look! Everyone thinks it's just guys who get all freaked out before the wedding, but it happens to women too!
Then you won't mind if I tell Turk!	Look, I would never do anything inappropriate.	That she's a sorceress!	Now I want you to go.
Damn beads....	If you have to, go ahead. But! Then I'll know that we're not as close as I thought!	Then you won't mind if I tell Turk!	Look, I would never do anything inappropriate.
...What you'd look like if you were Chinese...?	What were you thinking about?	Uncool!	Ooh! Lemon zinger!
Hoo! That was lucky!	Me too!	...What you'd look like if you were Chinese...?	What were you thinking about?
Turk, don't you have any work to do?	Nah, it's on hold. The director dropped out.	I hear they're coming out with a 'Stuart Little 3'.	Nag! Nag! Nag! Nag! You see how Carla is lately. I mean, is that all I have to look forward to?
Beads, keep me strong!	Dude. Surgeon.	Turk, don't you have any work to do?	Nah, it's on hold. The director dropped out.
Nothing.	What?	Beads, keep me strong!	Dude. Surgeon.
I don't know. People always said that in the movies.	Why would I scream?	Whatever you do, don't scream.	Whoooa!
Mm.	Really?	You know, for a minute there I actually thought you had a twin brother.	I guess you can never underestimate how the smallest gesture can make everything better.
Stop it.	Was it when my twin brother was here?	Mm.	Really?
Clever.	Things you say when you talk to your patients.	Noooo. They're the charts you wanted, plus! patient history charts from the last ten years, which yours truly stayed up all night organizing not only chronologically but by severity of condition.There's a good chance I'm gonna kill someone.	Are those the charts I wanted?
No, but wait!I already got my shifts covered for the next two days! Besides, where're you gonna find somebody else? You think Lonnie, my intern, gives a rat's ass about acute thomrobotic thrombocytopenic purpura?	Ah, don't bother with that, Trish. You know, I've been getting my hair cut by my barber, Big Frank, for seventeen years now. Is it because his prices remained the same? No. Is it because I like the way his man-breasts feel gently resting on my shoulders when he does my sideburns? A little, yes. But, mainly, it's because, unlike you, he does just exactly what I tell him to do. You see, it's my way or the highway, and since you've already broken that dictum you're out!	Clever.	Things you say when you talk to your patients.
Hey, Laverne. What'd you give me if I get this jelly bean into your cleavage?	I guess I could go home.... But there's plenty of important stuff I need to do around here.	Kiss ass.	It is gonna be so amazing working on the disease that tore my family apart.
Owwww.	Ah, ba da ba.	Ow!	I don't know, sir.
Well, Brad, I'm the type of clown that likes to wear tight pants.	Why're your pants so tight? Clowns have baggy pants!	Dr. Reid couldn't be here today, children, so I'm here in her place.	Kurt was the one that was always there for me. And at the end of the day, that's who you want the guy who shows up when you need him, without having to ask.
What other clown?	But the other clown has baggy pants!	Well, Brad, I'm the type of clown that likes to wear tight pants.	Why're your pants so tight? Clowns have baggy pants!
Janitor!	Hello, old friend.	What other clown?	But the other clown has baggy pants!
So you steal my research project and now you want me to do your dirty work?	Mr. Millican just died, and his family needs to be notified. Since I'm still kind of new at this, I was hoping you could do it.	Okay, let's take a little break, kids. Duck, Duck, Eel.	Dr. Dorian?
Oh, just breaking some bad news...circus style.	J.D., what are you doing?	Unfortunately your grandfather's bowel burst, causing a severe sepsis. We were unable to save him. I'm so sorry.Again, I'm...I'm very sorry.	You're just upset because it's never easy to give someone bad news.
The clasp! The clasp!	What?	I can't find the clasp.	What the hell is she doing? It's The Judge!Oh.
Naughty!	I switched to frontsies!	The clasp! The clasp!	What?
We only had two.	Position One, Two, or Three?	Naughty!	I switched to frontsies!
It's a mystery how one woman can drive you crazy over and over again.While another can bring you right back down to earth.In the end, you have to trust that the perfect woman will always lead you in the right direction.	Oh, yeah. Well, I have something to show you later.	We only had two.	Position One, Two, or Three?
Look, Elliot, I don't want to jinx this, but, how did that just happen?	So did you ever get the guts to mail the invitations?	It's a mystery how one woman can drive you crazy over and over again.While another can bring you right back down to earth.In the end, you have to trust that the perfect woman will always lead you in the right direction.	Oh, yeah. Well, I have something to show you later.
Sean?	You were a clown for me. You were there when I needed you without me even having to ask.	Look, Elliot, I don't want to jinx this, but, how did that just happen?	So did you ever get the guts to mail the invitations?
About ninety seconds.	How soon after you guys hooked up?	You be.She's already back with Sean.	Dude, ignore her. That's three years in a row who's feeling you?
What should I do?	Oooooh.	About ninety seconds.	How soon after you guys hooked up?
Danni!?	Irv didn't look great, but I didn't have time to talk.	Ehp-ehp-ehp! You look great, Irv!	I've been trying like the dickens to cut down on my snacking, but it's just so
When you run into someone you used to date, either you find them totally annoying or enough time has passed that you've idealized everything about them.	Danni!?	Irv didn't look great, but I didn't have time to talk.	Ehp-ehp-ehp! You look great, Irv!
"Hey, Jay-Dee!"	Hey, J.D.	When you run into someone you used to date, either you find them totally annoying or enough time has passed that you've idealized everything about them.	Danni!?
Oh, be nice.	Oh, okay. I'll see you later.	I'm actually on my way to see somebody, so, you know....	"Hey, Jay-Dee!"
Ooh! Gotta go!	Well, actually, I	Danni, wait!How've you been?	Oh, be nice.
Hey, Elliot.	And there she was my lady.	Ooh! Gotta go!	Well, actually, I
Should we just hold each other?	J.D., I can't talk right now.	Hey, Elliot.	And there she was my lady.
What's up....Attention, Sacred Heart! Everyone please gather 'round. Doctors, nurses, patients, hear ye, hear ye.Everyone should know that last night, Elliot Reid and I made passionate love for a good hour and a half. Check that! A _great_ hour and a half.When I hit it, I hit it good! That is all!	Sorry! Sorry! I couldn't find a parking spot! Heh.Hey, J.D. What's up?	Should we just hold each other?	J.D., I can't talk right now.
I know. I mean, you don't want to be rusty at sex before you throw down with your real boyfriend, do ya?	Listen, J.D.... Last night was really important to me.	Peace out, Sean.	Bye, J.D.
I totally understand. You know, Danni and I are getting back together, too.	Look, you and I have been down this road before and we both know where it ends.	I know. I mean, you don't want to be rusty at sex before you throw down with your real boyfriend, do ya?	Listen, J.D.... Last night was really important to me.
Damn! I should know this!	Danni? Danni, Danni, Danni.... What was her last name?	We are?	I totally understand. You know, Danni and I are getting back together, too.
Yes! Raspy voice!	Blonde hair!	Damn! I should know this!	Danni? Danni, Danni, Danni.... What was her last name?
Oh, my God, Danni, I am so sorry. I thought that's what you wanted.	GIVE IT TO ME!	Oh, I don't know, Danni. The real me's not really into that.	Yeah, but back then I was pretending to be someone I thought you wanted me to be, and that didn't work. So now.......I'm gonna let the real me come out. And the real me wants to do it again...and she wants to do it rough!
YAAAAAAAAAAAAHHHHHHHHHHHHHHHH!!!!!!!!!	It was.	Oh, my God, Danni, I am so sorry. I thought that's what you wanted.	GIVE IT TO ME!
I hate my girlfriend.	In life, there are personal realizations....	Barbara's my mom.	Man, I get so gassy after having sex.Oh, by the way, some skank named Barbara called, and I told her to back off.
....and professional ones.	I hate my girlfriend.	In life, there are personal realizations....	Barbara's my mom.
But the worst are the realizations that sneak up on you.	Listen, Serpico, I go four steps out that door to my car every day. And that's important, because if I don't beat Enid home from her thighs & buns class, I have to help her peel off her leotard. So remember this: I hired you, and I can fire you.	....and professional ones.	I hate my girlfriend.
Last night in bed, I knocked you unconscious!	Not really. I'm more into tough guys, you know?	"Enjoy" is such a strong word.... I...I'm used to it. You know, like cafeteria food, or the constant threat of terrorism.	Do you even enjoy spending time with me?
So I guess...this is over.	For like _five seconds_!	Last night in bed, I knocked you unconscious!	Not really. I'm more into tough guys, you know?
So, you'd rather hang out with someone you don't even like than be alone?	Why?	So I guess...this is over.	For like _five seconds_!
Yeah, me too. I mean, come on, how many couples out there actually have fun together?	Yeah, pretty much.	So, you'd rather hang out with someone you don't even like than be alone?	Why?
Ohh, I don't know! Come over my house, sleep with me, and then dump me the minute Sean shows up so I feel like a complete loser!	Do...what?	Okay, sort away, Seany-Sean-Sean!Oh, my God!How could you do this to me?	We're both good-looking guys, am I right? We'll sort this out when I get back!
You know I only have one set.	Oh, you seem real crushed! I mean, you jumped into bed with Danni so quick you didn't have time to change the sheets!	Ohh, I don't know! Come over my house, sleep with me, and then dump me the minute Sean shows up so I feel like a complete loser!	Do...what?
Could I ask you one?	Look, J.D., can I ask you a favor?	You know I only have one set.	Oh, you seem real crushed! I mean, you jumped into bed with Danni so quick you didn't have time to change the sheets!
Damn, I don't have one.	Sure, anything. What is it?	Could I ask you one?	Look, J.D., can I ask you a favor?
Look, Elliot! What do you want!?	Didn't have one, did ya?	Damn, I don't have one.	Sure, anything. What is it?
Good.	Hey, J.D. Can I talk to you for a sec?Look, things have been a little weird between Elliot and I since I got back.	I was so mad at Elliot I couldn't sleep last night. Also, Danni snores like a gutted wild boar. But mostly it was the Elliot thing.	Oh. Here's your chance!
Sorry, everybody. False alarm.	J.D., listen. Did anything happen between you and Elliot while I was gone?	Good.	Hey, J.D. Can I talk to you for a sec?Look, things have been a little weird between Elliot and I since I got back.
Or whether it's a personal choice.	Come on! What are you gonna do about it?	There comes a time when every man has to make a choice. Whether it's a professional choice...	Well?
In the end, it's about integrity.	Hey. Wanna go for a beer after the show?	Or whether it's a personal choice.	Come on! What are you gonna do about it?
Even if that means showing you both care a little.	Here's your beer.	And it's about chasing after what you really want.	No!
When it comes down to it, you just have to be proud of the decision you make.	Giddyup, Dr. Dorkian!	Even if it means sacrificing your own happiness.	Hey.
Nobody cares, Danni.	You know what I was thinking?	Me, I was stuck at a couples-only dinner party. There were the soon-to-be newlyweds....There were the girl that I loved and the guy trying to eat her face....And then there's Danni....	Did that just happen? Anybody?
I guess.	You wanna have sex?	Guess it's just the two of us.	Baby, not now. Don't know yet!
Please don't.	Do I have to look at you?	I guess.	You wanna have sex?
Danni!	Kelso!	Turk!	Oh, Danni!
Because she hears like a bat.	That is weird. Why are we whispering?	Keep it.Dude, Danni did the weirdest thing last night she called out her own name during sex.	I'm gonna go put some clothes on. After all, I am a lady.Oh, by the way, I used your razor to shave my pits.
Yeah, 'cause they can't see.	Bats hear really well?	Because she hears like a bat.	That is weird. Why are we whispering?
No, no, no, no, no. Bats and whales, bats and whales!	Oh, yeah, that's right, sonar. Wait a second, that's whales!	Yeah, 'cause they can't see.	Bats hear really well?
